prompt,completion
tenpo suno Mun li lon.,It's Monday.
Did you sleep with that woman?,sina unpa ala unpa e meli ni?
It feels like my mouth is on fire.,pilin pi insa uta mi li sama seli wawa.
o lukin e sina.,Take a look at yourself.
tawa musi li pona tawa mi kin.,I like dancing too.
I want to be safe.,mi wile lon awen.
mi moku e kili Piwa.,I eat pears.
jan Ton li weka kin.,Tom was clearly lost.
ona li pilin utala ala.,He isn't angry.
jan Mawija en jan Makewina en mama mije Jose li kama tawa ma tomo.,"Maria, Marcelina and father José are going to town."
They said that they'd be back.,ona li toki e ni: ona li kama sin.
Is another world possible?,lon ante li ken ala ken?
pilin mi la ona li tan ma Oselija. taso ken la ona li tan ma ante.,"I think he is from Australia, but I'm not sure."
What's my jacket worth?,len sijelo mi li mani seme?
Why did you stop talking to me?,tan seme la sina awen ala toki tawa mi?
We can see thousands of stars in the sky.,mi mute li ken lukin e mun mute mute lon sewi.
I live in Milan.,tomo mi li lon ma tomo Milano.
sina pake e jan pi ma ante taso tan seme?,Why did you stop only the foreigners?
mi kama sona e toki Tansi.,I'm learning Danish.
Tom and I are busy tonight.,jan Ton en mi li pali lon tenpo pimeja ni.
What languages are you learning?,sina kama sona e toki seme?
This is one of the trees that I want to have cut down.,ni li kasi suli wan ni: mi wile e ni: jan li lili e ona.
meli ni li toki tawa jan seme?,Who is she speaking to?
Tom bought himself a new suit.,esun la jan Ton li kama jo e len sin tawa ona sama.
ale li tan seme?,What's the meaning of life?
tenpo ni la jan Ton li lon tomo pali mi.,Tom is in my office right now.
jan pi nimi Pesi li lon kulupu sina pi tomo sona anu seme?,Is there a Percy in your class?
mi ken ala ken kama jan pona sina?,Can I be your friend?
Don't use the elevator.,o kepeken ala e ilo pi tawa sewi.
I can't describe my feelings.,mi ken ala sitelen e pilin mi.
o toki a!,Speak!
Will you show me what you bought?,mi ken ala ken lukin e ni: sina kama jo e ni lon esun?
ona mute li pini.,They're ready.
o kama lon tomo mi!,Why don't you come in?
Tom decided to take the day off.,tenpo suno ni la jan Ton li anu pali ala.
I am finishing my translation.,mi pini pana lon toki ante.
mi jan pi pona sijelo.,I am a doctor.
"After having anal sex with my girlfriend, we usually need to have a good wash.",mi unpa e lupa jaki pi meli olin mi la mi tu li wile telo pona e sama.
Work makes everything possible.,pali li pana e ken ale.
She lives in the village.,tomo ona li lon ma tomo lili.
moku li ike mute.,The food is very bad.
sina toki e ni la sina sama mama mije pi mi mute.,"When you say this, you sound just like father."
jan Ton li toki e ni: ona li jo e mani mute.,Tom says he has a lot of money.
Why didn't you help Tom?,sina pona ala e jan Ton tan seme?
jan Ton li pilin e ni: ijo li akesi.,Tom is afraid.
tenpo ni la mi sona e ijo mute. tenpo pini la mi sona e ijo lili.,Now I know much more than before.
ona li sona mute.,She has a high grade of intelligence.
Tom whispered something to Mary and then left the room.,jan Ton li toki lili tawa jan Malija li tawa weka.
"sina wile kama jo e telo lon ni, la sina wile pana e mani.",It's not free to get water here.
jan sewi li pali e ali.,God created the world.
Was Tom funny?,jan Ton li musi ala musi?
tenpo ni la mi ken tawa.,I'm ready to leave.
I like that person.,jan ni li pona tawa mi.
"Two apples are baking in an oven. One of them says, ""It sure is hot in here."" The other goes, ""AHHH! A talking apple!""","kili tu li lon seli. kili wan li toki e ni: ""seli a!"" kili ante li toki e ni: ""kili toki a!"""
The floor is lava!,anpa li telo pi kiwen seli!
sona mute mi la mi sona e ona tan toki pi mama mi.,"Most of what I know, I know from what my parents told me."
jan Ton li tawa weka. taso jan Mewi li lon ni kin.,"Tom has left, but Mary is still here."
pilin mi la jan Ton li ken ala kepeken e sitelen nimi.,I think Tom is illiterate.
Someone is eating something.,jan li moku e ijo.
That's crazy.,ni li nasa.
tan seme la sina kute ala?,Why aren't you listening?
Tom was at home when that happened.,"ni li kama, la jan Ton li lon tomo."
mama mi li meli nasa.,My mother is a crazy woman.
ilo sona mi li sin mute. ilo sona sina li sin lili.,My computer is newer than yours.
jan sewi o weka e ona tan mi!,God forbid!
jan Ton li ken ala sitelen e nimi ona kin.,Tom couldn't even write his own name.
This chick has only recently hatched.,waso lili ni li kama tan sike mama lon tenpo pini lili.
Sami's wisdom teeth are coming out.,kiwen uta monsi pi jan Sami li kama lon.
I'm in pain every minute of every day.,mi pilin ike sijelo lon tenpo ale lon suno ale.
mi moli tawa sina.,I will die for you.
I don't want Tom to be alone.,mi wile ala e ni: jan Ton li wan.
tan telo sewi la tenpo suno pi pini pi tenpo seli li pimeja li pana e pilin ike.,The rain made the autumn day dismal.
"If you get bored, open a book!","sina pilin musi ala, la o open e lipu!"
I love butterflies.,pipi li pona mute tawa mi.
Don't drive so fast. We're all going to die!,o tawa ala kepeken wawa mute. mi ali li kama moli a!
mi sona ala e ni: tomo ona li lon seme?,I don't know where she lives.
toki ni li pona kute.,This language sounds beautiful.
I've got your passport.,mi jo e lipu wawa sina pi jan tawa.
Which metro train goes to the centre?,tomo tawa linja seme li tawa insa pi ma tomo?
Why have you turned it off?,sina pini e ona tan seme?
He's flying on a winged horse.,ona li tawa lon kon kepeken soweli tawa waso.
mi wile lukin e jan lon tenpo pimeja kama.,I have an appointment tonight.
Tom's hands are small.,luka pi jan Ton li lili.
mi nasa tan ona a!,I am crazy for her!
It is neither good nor bad.,ona li meso.
I want to go to Seattle.,mi wile tawa ma tomo Sijate.
o ken ala e ni: jan lili li musi kepeken ilo seli.,Don't let your children play with matches.
jan Ton li jo e tomo tawa.,Tom has a car.
sina pona lukin.,You are beautiful.
tawa lukin pi jan ale la ma li sike.,It is evident that the Earth is round.
A bus transported us from the airport to the city.,mi tawa tan tomo pi tomo tawa kon tawa ma tomo kepeken tomo tawa kulupu.
o kepeken ni lon tenpo ike taso!,Use only in case of emergency.
o lukin e tomo suli ni.,Look at that tall building.
lipu sona mi li weka tan pali pi pona sin lon tenpo wan.,Our website is offline for scheduled maintenance.
"Let me see your hand, that I may read the future.","o ken e ni: mi lukin e luka sina. mi pali e ni, la mi ken lukin e tenpo kama."
This is the bathroom.,ni li tomo telo.
Our time is limited.,mi mute li jo e tenpo lili.
ijo ala li sewi.,There's nothing above us.
Tom is teaching me French.,jan Ton li pana e sona pi toki Kanse tawa mi.
mi kepeken supa noka.,I'll take the stairs.
Does he want to see it?,mije li wile lukin e ona anu seme?
"ona li musi lon ko lete, la ni li pona tawa ona a!",They loved playing in the snow.
"soweli tawa li lon insa pi supa musi, la ona li wawa mute li ken tawa ma luka tu wan.","Knights are most powerful near the center of the board, from where they can move to any of eight squares."
jan pi moku telo li moku e telo.,"He who drinks, will drink."
Airplanes are expensive.,tomo tawa kon li ijo pi mani mute.
soweli tomo li anpa e nena kon lon ma li pilin kon.,The dog sniffed the ground.
I liked your story.,toki sina li pona tawa mi.
Love began to grow between them.,mije li open olin e meli. meli ni li open olin e mije ni.
mama meli pi mama mije mi li mama mama meli mi.,My father's mother is my grandma.
mi ante e len mi.,I changed my clothes.
mi pilin e ni: jan Ton li toki lon toki Kanse.,I think Tom was speaking French.
I'll allow you to go.,mi ken e ni: sina tawa.
"You too, Brutus?","jan Putu o, sina kin anu seme?"
I am free this afternoon.,sinpin pi tenpo pimeja ni la mi jo e tenpo.
ona li lape ala.,He doesn't sleep.
Tom didn't have enough money.,jan Ton li jo ala e mani pi mute pona.
seli pakala li lon la o kepeken ala kin e ilo supa tawa.,"If there is a fire, don't use the elevator."
"Speech is silver, silence is golden.",toki li kiwen walo. toki ala li kiwen jelo.
sina len ala e len.,You're not dressed.
ona li monsuta.,It was spooky.
pona tan ni: sina toki kepeken ilo toki tawa mi.,Thanks for calling.
I saw a plane.,mi lukin e tomo tawa kon.
nasin sewi li tawa e nena.,Faith moves mountains.
ona li lon ala.,She is not here.
Stay away from that.,o awen weka tan ni.
sina moku ala e telo mute.,You don't drink enough water.
ona li jan pi ma Kanse.,He's a Frenchman.
mi mute li ken ala toki e tenpo kama.,We're not fortune tellers.
ona li tan ma Sumi.,They are from Finland.
nanpa pi ilo toki mi li luka tu tu li luka tu wan li luka tu li luka wan li luka li tu tu li tu wan li tu.,My telephone number is 9876-5432.
ona li pona ale.,It worked perfectly.
I wonder if she likes me.,mi wile sona e ni: ona li olin e mi anu seme?
Are all the bars shut?,tomo ali pi telo nasa li pini anu seme?
Tom is saving up to buy a house.,jan Ton li awen e mani tan ni: ona li wile kama jo e tomo lon esun.
o tawa ala!,Freeze!
mi wile e ni: sina pona e ale ni lon tenpo kama pi poka nanpa wan kepeken ni: jan sama mi en jan poka mi li kama jo e ike pali pi lili nanpa wan.,I want you to somehow resolve the situation as promptly and avoiding to cause trouble for my sister and those around us as much as possible.
I don't understand her words.,mi kama ala sona e kon pi nimi ona.
tomo pi supa noka tawa li tawa sewi li tawa anpa.,The elevator is moving up and down.
ona li wan mute e kili.,She was right in the middle of cutting cucumbers.
ma tomo Kiju li ma tomo lawa pi ma Ukawina.,Kyiv is the capital of Ukraine.
o ken ala e ni: jan li lukin e pilin sina.,Don't let your feelings show.
ni li jan seme?,Who is that?
They are Christians.,ona mute li jan pi nasin sewi Kolisu.
ma Mewika la tenpo ale la sina ken kama lon tenpo kulupu musi. ma Elesepese la tenpo ale la kulupu lawa li ken kama lon sina!,"In America, you can always find a party. In Soviet Russia, the Party can always find you!"
A fish rots from the head down.,nanpa wan la kala li kama jaki lon lawa.
jan Mewi li sona mute. sina sona lili.,Mary knows a lot. You know little.
mi wile ala telo e poki moku.,I don't want to wash the dishes.
jan Sami li sona ala.,Sami knows nothing.
How many toilets does your building have?,tomo sina li jo e tomo telo pi nanpa seme?
That's all we do here.,mi mute li pali e ni taso lon ni.
The price of land is going up.,mani ma li kama suli lon esun.
Coffee is Tom's favorite drink.,telo seli wawa li telo pi pona nanpa wan tawa jan Ton.
Do you like spring or autumn?,tenpo pi kasi kule anu tenpo pi lete lili li pona tawa sina?
What are they called?,nimi ona li seme?
Are you an alien?,sina jan pi sike ma ante anu seme?
I like pizza.,moku sike li pona tawa mi.
ni li pana e pona tawa kulupu.,That will benefit the community.
sina sona ala sona e kon pi toki mi?,Do you know what I mean?
Tom arranged everything.,jan Ton li nasin e ijo ale.
o len e lukin pi jan Ton.,Blindfold Tom.
Tom wouldn't try to stop you.,ken ala la jan Ton li lukin sinpin e sina.
jan Tan li pana e suwi pimeja tawa jan Linta.,Dan gave Linda a piece of chocolate.
sina sona ike ala ike e toki meli e toki pi jan lili?,Do you have difficulty understanding what women or small children say to you?
mije sama mi li kepeken ilo tawa pi sike tu ni.,My brother uses this bike.
I am a Berliner.,mi tan ma tomo Pelin.
pali sin li pona tawa jan Ton.,Tom is happy with his new job.
You will be hungry.,sina wile moku.
o awen lon weka pi jan sama sina.,Wait for your sister.
You will banish him.,"tenpo kama la, sina weka e ona tan ma ni."
I translated.,mi pana lon toki ante.
"Easy come, easy go.",ale li kama li tawa.
mi lukin ala moli e mi.,I didn't try to kill myself.
Sami thought Layla might be able to help him.,jan Sami li pilin e ni: ken la jan Lela li ken pana e pona tawa ona.
sina lukin e seme?,What're you watching?
It's going to be hard to find somebody to do that for you.,kama jo pi jan ni li ike: ona li pali e ni tawa sina.
mi o tawa e ilo kalama linja pi kalama anpa mute lon monsi pi ilo kalama linja pi kalama anpa.,Let's put the basses on the left behind the cellos.
Do you have any interest in sports?,pali musi li pona sona tawa sina anu seme?
You should be more sensitive to how people feel about your words.,o pilin mute e nasin ni: jan li pilin e nimi sina.
tenpo suno ni la mi lukin e kulupu suli pi pipi waso jelo.,We saw a lot of yellow butterflies today.
noka pi olin sina li lon anpa pi suli seme?,How deep is your love?
toki Inli li pona tawa mi. taso mi ken ala toki pona kepeken ona.,"I like English, but I cannot speak well."
Raise your hand.,o sewi e luka sina.
ona li lipu kasi li palisa kasi taso.,It's only leaves and branches.
sina sona e mije sama pi mije ni anu seme?,Do you know his brother?
Who's the person in charge?,jan seme li lawa?
jan Ton li wile wawa pali e ni: jan Mewi li pilin pona.,Tom wants so much to make Mary happy.
mi olin nasa e ona. ona kin li olin nasa e mi.,We're crazy about each other.
o kama jo e lipu pi nimi ale tan supa lipu.,Take the dictionary from the shelf.
This custom dates back to the 12th century.,ni li nasin pi sike suno ale nanpa luka luka tu.
It looks like the wind's getting stronger.,tawa lukin la kon tawa li kama wawa mute.
mi mute li tawa nasa e kasi suli li kama jo e kili kiwen.,We shook nuts from the tree.
mi olin kin e sina.,"I love you, too."
You should take an umbrella in case it rains.,telo li ken kama anpa. o jo e ilo selo tan telo sewi.
ona li kama tan seme?,Why would that happen?
linja sina li kin telo ala.,Your hair's not even wet.
ona li jo e mije lili. mije lili ni li jan pi pona sijelo.,She has a son who is a doctor.
I don't want them on the team.,mi wile ala e ona lon kulupu.
I can't see.,mi ken ala lukin.
It's very dark in here.,pimeja mute li lon ni.
mi wile kama jo e ni lon pini.,That was my goal.
I want to know who you're going to the dance with.,mi wile sona e ni: sina tawa musi poka jan seme?
I'm using a tool.,mi kepeken ilo.
Does your sister live there?,meli sama sina li awen ala awen lon ni?
Why are puppies so cute?,soweli lili li suwi mute tan seme?
That's an excellent choice.,wile ni li pona mute.
mi ken ala kama sona e kon pi toki pi jan Ton.,I couldn't understand Tom's explanation.
jan Mewi li pana e nimi Wesi tawa soweli tomo ona.,Mary named her dog Rex.
jan Ton li pana e telo suwi e ko suwi ala lon telo kasi ona.,Tom puts honey in his tea instead of sugar.
The first native speaker of Esperanto was a girl who was born in 1904. The number of people who speak Esperanto today number in the thousands.,"jan Epelanto nanpa wan li meli lili li kama lon ma lon tenpo pini mute. tenpo ni la, jan Epelanto li mute."
69% tan jan Mewika li suli pi moku mute.,Sixty-nine percent of Americans are overweight.
Hey hey hey!,"toki, toki, toki!"
The Romans spoke Latin.,tenpo pini la jan Loma li toki kepeken toki Lasina.
I'm not like you.,sina jan. mi jan ante!
Do you have any kids?,sina jo e jan lili anu seme?
Tom knows that I can't speak French.,jan Ton li sona e ni: mi ken ala toki lon toki Kanse.
Tom mispronounces many words.,jan Ton li kalama ike e nimi mute.
jan Ton li musi ala.,Tom was serious.
Tom can do this work alone.,jan Ton wan taso li ken pali e ni.
Is your daughter a student?,meli lili sina li kama ala kama sona e sona mute?
I want to go there.,mi wile tawa ni.
"tenpo suno ali lili la, mi utala.",I fight almost every day.
lukin la jan li sama pipi.,People look like ants.
mi poki e ijo mi.,I am packing up my things.
sewi li wan.,God is one.
tenpo pini la jan Ton li lon sewi pi supa lape.,Tom was sitting on the bed.
o tawa sewi pi supa noka ni.,Go up these stairs.
jan Ton li pilin jaki.,Tom was embarrassed.
tenpo ni la sina kama a pana sin e lipu ni anu seme?,Haven't you returned those books yet?
"ona li wile wawa e ijo, li lukin e ona lon ni.",He saw there what he had dreamed about.
jan Asija mute li pilin e ni: sona nanpa li nasin sewi.,Numerology is a serious religion amongst many Orientals as it is a separate thing altogether to what many classify as regular religions.
ona li tawa insa.,They came in.
Tom just tells people what they want to hear.,jan Ton li toki taso e ni tawa jan: ona li wile kute e ona.
Boston is changing.,ma tomo Pasen li ante.
Their capital was Cuzco for many years.,ma tomo lawa pi ona mute li ijo Kusiko lon tenpo sike mute pini.
sina wile lawa e tomo tawa anu seme?,Did you want to drive?
I must go there.,mi wile tawa ni.
Did you invite him to the party?,sina toki ala toki e ni tawa ona: o tawa kulupu musi?
o tawa tomo pi mije sama sina. ona li jan Anon.,"Go, please, to the house of your brother Amnon."
jan lili li tawa wawa tawa ma musi.,The kids ran toward the playground.
ona li lon ala poka mi.,They weren't with me.
He looked at her angrily.,ona li lukin pi pilin utala tawa ona.
"tan seme la tawa lukin la sina pilin pi pona lili, mi pilin pi pona mute?",Why don't you seem as happy as I am?
Fishing is not allowed here.,jan li ken ala alasa e kala lon ni.
He hides himself.,ona li len e ona sama.
We are going to be late for school.,mi kama lon tomo sona lon tenpo pi suli ike.
You're nothing more than a social parasite!,sina sama pipi jaki taso lon kulupu!
We are humans and we are from Earth.,"mi mute li jan, li tan ma."
The countryside is beautiful.,ma li pona lukin.
"If you have something to say to me, say it.",sina wile toki e ijo tawa mi la o toki.
Wash your hands.,o telo e luka sina.
mi pilin ala e ni: jan Ton li wawa pi pona ni: ona wan taso li ken sewi e poki ni.,I don't think that Tom is strong enough to lift that box by himself.
seme li lon poki?,What's in the box?
ijo ala li kama tan ijo ala.,Nothing comes from nothing.
Does that hurt?,ni li pana e pilin ike anu seme?
We want to negotiate.,mi mute li wile esun.
He is a biologist.,ona li kama sona e soweli e kasi.
ken pi ike kama nanpa wan li ni: jan li lukin e ona sama taso.,One of the greatest dangers in your human relations is self-centeredness.
He hopes he won't be demoted.,ona li wile e ni: ona li anpa ala.
Choose your weapon.,o kama jo e ilo utala sina.
mi pilin nasa lili.,I'm just a little woozy.
I cannot visit you every day.,tenpo suno ali la mi ken ala lukin e sina lon tomo sina.
We'll work this out.,mi mute li alasa e pali.
She mended her socks.,ona li pona e len noka ona.
"You're both from Boston, aren't you?",sina tu li kama tan ma tomo Pasen anu seme?
I was trying to remember the name of the book.,mi wile kama tawa lawa mi e nimi lipu.
telo suli li mu wawa.,The sea is roaring.
How far away is Kyoto?,ma tomo Kijoto li weka pi suli seme?
sina lukin ala lukin e jan Ton lon tenpo suno ni?,Have you seen Tom today?
I call the shots.,mi lawa.
"Where is the cat? ""It is on the roof.""","soweli li lon seme? ""ona li lon sewi tomo."""
jan Ton li sona ala e ni: sina pali e ona.,Tom doesn't know what you've done.
o kule e nasin toki ale!,Queer all languages!
Stop torturing yourself.,o pakala ala e sina.
sina moku e telo tan seme?,Why are you drinking water?
suwi li pona moku.,The cake tastes good.
Esperanto is the language of the twenty-first century.,toki Epelanto li toki pi sike suno ale nanpa mute wan.
I love you.,mi olin e sina.
I'm an orphan.,mi jo ala e mama.
She isn't afraid of death.,ona li pilin akesi ala tan moli.
She's beautiful and intelligent.,"meli ni li pona lukin mute, li jo e lawa wawa."
I want something sweet.,mi wile moku e suwi.
Please open your bag.,o open e poki sina.
sina nasa.,You're crazy.
ona li suli e kili lon ni.,They grow fruit here.
lukin la jan Ton li wile li kama moli e sama.,Tom has apparently tried to commit suicide.
Is that a lot?,ni li mute ala mute?
Tom says he understood everything.,toki pi jan Ton la ona li pilin e ali.
mama meli mi li tawa esun anu seme?,Is mom going to the store?
Tom stopped doing that.,jan Ton li pini pali e ni.
The books are on the bench.,lipu li lon supa.
jan Ton kin li tawa musi.,Tom also dances.
o pana ala e moku tawa waso.,Do not feed the ducks.
mi wile ala utala.,I don't want to fight.
I don't plan on telling Tom anything.,mi wile toki e ala tawa jan Ton.
I'm the continental champion.,mi jan nanpa wan pi ma suli.
They couldn't do anything but stand there and stare.,ona li ken ni taso: ona li awen sinpin li awen lukin.
That was a terrible joke.,ni li toki musi pi ike mute.
jan Ton o! toki!,"Hello, Tom."
mi pana e lipu sona tawa mije lili.,I gave the boy a book.
o moli e mi lon tenpo ni.,Kill me now.
ona li sona e jan mute.,He knows a lot of people.
mi awen pali e ni.,I still do that.
o kepeken e noka sina.,Use your feet.
sina kepeken len seme?,What will you wear?
jan Ton en jan Malija li kama wan lon ma tomo Pasen.,Tom and Mary got married in Boston.
mi sona e ni: jan Ton li sona e ni: mi sona.,I know that Tom knows that I know.
ona li toki pona lon toki Inli.,He speaks English well.
mi wile ala pali.,I don't want to work.
pini ni li pona tawa mi.,I am pleased with the result.
I won't come back again.,mi kama sin ala.
That might actually work.,ken la ni li pali.
What knowledge is unnecessary?,sona seme li ike?
jan Ton li jo e pali ala lon tenpo pini.,Tom didn't have a job.
open pi tenpo suno ale la mi tawa noka poka soweli tomo mi lon ma kasi pi ma tomo.,I walk my dog in the park every morning.
mi pilin ala e ni: jan Ton li sona e ni: jan Mewi li ken ala pali e ni.,I don't think that Tom knows Mary won't be able to do that.
Tom came into my room.,jan Ton li tawa insa tomo mi.
Tom was offered a job.,jan li wile pana e ken pali tawa jan Ton.
ale li sitelen lape taso.,Everything is but a dream.
"Tom is here, right?",jan Ton li lon ni anu seme?
ni li ante e ala.,That won't change anything.
She told me that she intended to go to Boston with him.,ona meli li toki e ni tawa ona mije: ona meli li wile tawa ma tomo Pasen lon poka pi ona mije.
Your plan seems excellent.,nasin sina li pona mute tawa mi.
tenpo ni la mi tawa esun.,Now I go to the market.
jan li sona la ona li toki ala. jan li toki la ona li sona ala.,"He who knows, does not speak. He who speaks, does not know."
Tom lived there.,tenpo pini la jan Ton li kepeken tomo lon ni.
o moli ala a!,Please don't die.
There are forty people in the group.,jan mute mute li lon kulupu.
I like working.,mi la pali li pona.
It's a big dog.,ona li soweli tomo suli.
ona li jan lawa pona.,He was a good king.
sina telo ala telo e kili loje?,Did you water the tomatoes?
tomo ona li lon ma tomo lili.,He lives in a village.
"Give a man a fish, and you feed him for a day. Teach a man to fish, and you feed him for a lifetime.",sina pana e kala la jan li ken moku lon tenpo wan. sina pana e sona pi alasa kala la jan li ken moku lon tenpo ale.
"mi pilin la ijo pi pona mute lon ali li ni: jan li ken ala sona e ali lon insa lawa sona. mi mute li lon ma pona lon telo suli pi pimeja ali. mi mute li wile tawa ala. tenpo ni la, nasin mute pi kama sona li pakala lili e mi mute. taso tenpo ijo kama la, sona mute li pana lukin e sitelen lape ike. tenpo ijo kama la, mi mute li sona e lon pi ike mute. mi mute li kama nasa ike tan ni. anu mi mute li tawa weka tan suno moli, li kama pona lon tenpo pimeja kin pi sona ala.","The most merciful thing in the world, I think, is the inability of the human mind to correlate all its contents. We live on a placid island of ignorance in the midst of black seas of infinity, and it was not meant that we should voyage far. The sciences, each straining in its own direction, have hitherto harmed us little; but some day the piecing together of dissociated knowledge will open up such terrifying vistas of reality, and of our frightful position therein, that we shall either go mad from the revelation or flee from the deadly light into the peace and safety of a new dark age."
How many lines are there in this paragraph?,linja nimi pi mute seme li lon nimi mute ni?
There's that sound again.,tenpo sin la kalama ni li lon.
I always listen to you.,tenpo ali la mi kute e sina.
I want to go to Korea.,mi wile tawa ma Anku.
jan Ton li lon tomo pi pona sijelo kin.,Tom is still in the hospital.
pimeja li pona ala tawa mi.,I don't like the dark.
jan Pewi li awen ken kama nanpa wan kepeken nasin ni.,Here's how Bernie can still win.
mi sona ala e ni: lipu wawa mi pi jan tawa li lon seme?,I lost my passport!
Are you playing chess?,sina musi ala musi e utala pi jan lawa ma?
tenpo suli li ken kama pini lon tenpo lili. tenpo lili li ken awen lon tenpo suli.,"There's nothing more fleeting than an eternity, nor something more eternal than a moment."
God is mighty.,jan sewi li wawa.
telo li kama tan sewi.,It rains.
Sit down now.,o anpa.
Maria has eagle eyes and lynx ears.,jan Mali li ken lukin en kute pi pona mute.
"If talking is good, kissing is great.",toki li pona la olin uta li pona mute.
Will you be here tomorrow?,tenpo suno kama la sina lon ni ala ni?
Why are you so sad?,sina pilin ike mute tan seme?
toki ni li lon ala.,This isn't true.
wile ona la ona li tawa lon nasin seme?,Which direction will he choose?
jan utala li awen lukin e nasin pi noka suli.,The soldiers were guarding the bridge.
mi moku lon tomo.,I eat in the house.
mi sona e mama meli sina.,I know your mother.
ona li open lon tenpo seme?,What time does it start?
Where will your friends sleep?,jan pona sina li lape lon seme?
Tom is afraid of bugs.,jan Ton li pilin monsuta tan pipi.
I prefer dogs.,soweli tomo li pona mute tawa mi. soweli ante li pona lili tawa mi.
People don't want the truth.,jan li wile ala e sona lon.
My head is spinning around.,lawa mi li pilin nasa.
